tree_bonsai,tree_undata_energy_balance,comment,prefixed_id,skos_uri
A_GLAW,B09_07,many-to-one correspondence,256f0734-66c0-4a17-bb8a-16578654f633,http://www.w3.org/2004/02/skos/core#closeMatch
A_LZTW,B09_07,many-to-one correspondence,24e28221-8c0e-47e5-b60a-8b8a36b428fd,http://www.w3.org/2004/02/skos/core#closeMatch
A_NF_RECY,B09_07,many-to-one correspondence,24cc24af-67d1-451f-b282-a0f36bc715a1,http://www.w3.org/2004/02/skos/core#closeMatch
A_ONFW,B09_07,many-to-one correspondence,57235841-aafc-479b-ac50-430923967c31,http://www.w3.org/2004/02/skos/core#closeMatch
A_WOOW,B09_07,many-to-many correspondence,349ca059-f1fb-4655-9a25-da4b24c46b2d,http://www.w3.org/2004/02/skos/core#relatedMatch
A_STEW,B09_07,many-to-many correspondence,e3197528-88b1-4a9d-bd1c-ce83b4a519f5,http://www.w3.org/2004/02/skos/core#relatedMatch
A_COKE,B10_08,many-to-many correspondence,2e442098-ce86-495e-a9c9-6f6fef75a2bd,http://www.w3.org/2004/02/skos/core#relatedMatch
A_GASE,B10_08,many-to-one correspondence,e06f11da-3db0-4bdc-a23b-a0feaae1d84d,http://www.w3.org/2004/02/skos/core#closeMatch
A_CHP,B10_08,many-to-many correspondence,345ac724-1fb6-46b1-954c-c617cd316a0f,http://www.w3.org/2004/02/skos/core#relatedMatch
A_POWB,B10_08,many-to-many correspondence,2d338de8-34b4-477b-bfae-0a3bba84aa57,http://www.w3.org/2004/02/skos/core#relatedMatch
A_POWC,B10_08,many-to-many correspondence,37a14aeb-f775-4350-a59a-61c2c3463820,http://www.w3.org/2004/02/skos/core#relatedMatch
A_POWG,B10_08,many-to-many correspondence,0063115e-2df1-4760-a0dc-8724a8d4b54f,http://www.w3.org/2004/02/skos/core#relatedMatch
A_POWN,B10_08,many-to-many correspondence,9aa9a889-d54b-4e75-a456-fa500d81f722,http://www.w3.org/2004/02/skos/core#relatedMatch
A_POWP,B10_08,many-to-many correspondence,79ee445f-5097-4cbf-8724-aa5cb56421e6,http://www.w3.org/2004/02/skos/core#relatedMatch
A_POWS,B10_08,many-to-many correspondence,a8313345-9826-4bb5-af44-3fee3b846400,http://www.w3.org/2004/02/skos/core#relatedMatch
A_POWW,B10_08,many-to-many correspondence,7ca250e5-619e-40a0-bcae-558cc82a9797,http://www.w3.org/2004/02/skos/core#relatedMatch
A_CHP,B11_088,many-to-many correspondence,4c65d4e7-136a-4257-9f04-e937de4ff922,http://www.w3.org/2004/02/skos/core#relatedMatch
A_POWB,B11_088,many-to-many correspondence,62da18ed-bec3-48bb-a674-0b7036c1b691,http://www.w3.org/2004/02/skos/core#relatedMatch
A_POWC,B11_088,many-to-many correspondence,82481158-6ec4-4e45-b9e8-f2d767f75301,http://www.w3.org/2004/02/skos/core#relatedMatch
A_POWG,B11_088,many-to-many correspondence,13eb9dcc-ddda-49a0-bbe5-7252371262fe,http://www.w3.org/2004/02/skos/core#relatedMatch
A_POWN,B11_088,many-to-many correspondence,ab2eba7b-8375-414f-8ef3-263e72542f55,http://www.w3.org/2004/02/skos/core#relatedMatch
A_POWP,B11_088,many-to-many correspondence,65d3857c-8b45-4cc7-bbce-a7f1e4123287,http://www.w3.org/2004/02/skos/core#relatedMatch
A_POWS,B11_088,many-to-many correspondence,72b44b6f-190c-449a-ac8e-9e0b55e2b58f,http://www.w3.org/2004/02/skos/core#relatedMatch
A_POWW,B11_088,many-to-many correspondence,1db16e1e-d3b0-496f-89e8-fc7c457619b4,http://www.w3.org/2004/02/skos/core#relatedMatch
A_POWB,B11_08811,many-to-many correspondence,e615bd4f-e69a-4baa-ae71-9feb888445bb,http://www.w3.org/2004/02/skos/core#relatedMatch
A_POWC,B11_08811,many-to-many correspondence,c69501d1-c74e-4c33-a3c5-195f637bd8b9,http://www.w3.org/2004/02/skos/core#relatedMatch
A_POWG,B11_08811,many-to-many correspondence,47147998-ac19-48de-af01-5e0290fe7a4d,http://www.w3.org/2004/02/skos/core#relatedMatch
A_POWN,B11_08811,many-to-many correspondence,35c9f07a-7065-466b-9f4b-ffea82fe57da,http://www.w3.org/2004/02/skos/core#relatedMatch
A_POWP,B11_08811,many-to-many correspondence,bf6199e1-7020-4b93-8461-df6772150f30,http://www.w3.org/2004/02/skos/core#relatedMatch
A_POWS,B11_08811,many-to-many correspondence,94bd2992-c5b8-454f-b6a4-b4167f6c2081,http://www.w3.org/2004/02/skos/core#relatedMatch
A_POWW,B11_08811,many-to-many correspondence,9d2b94c3-e534-4bee-93cb-1b4f31a5551a,http://www.w3.org/2004/02/skos/core#relatedMatch
A_CHP,B12_08821,many-to-many correspondence,b7bb3833-b037-4797-98fb-4605e192e2fe,http://www.w3.org/2004/02/skos/core#relatedMatch
A_POWB,B12_08821,many-to-many correspondence,055275c2-63a4-455d-9c92-35f663283b5e,http://www.w3.org/2004/02/skos/core#relatedMatch
A_POWC,B12_08821,many-to-many correspondence,f4ed0fc7-5064-4218-afe8-e76036ac539a,http://www.w3.org/2004/02/skos/core#relatedMatch
A_POWG,B12_08821,many-to-many correspondence,e00eefbf-bf9b-43e7-a5e7-b5ba3c209eb6,http://www.w3.org/2004/02/skos/core#relatedMatch
A_POWN,B12_08821,many-to-many correspondence,fe9efc70-9f65-4a7a-b913-cbe539d7387a,http://www.w3.org/2004/02/skos/core#relatedMatch
A_POWP,B12_08821,many-to-many correspondence,52f362b6-56a8-4917-9ff1-bd8ce03f7c79,http://www.w3.org/2004/02/skos/core#relatedMatch
A_POWS,B12_08821,many-to-many correspondence,2bdd0c0f-bba7-456c-805f-d2418b5ee935,http://www.w3.org/2004/02/skos/core#relatedMatch
A_POWW,B12_08821,many-to-many correspondence,b991c133-a770-44f6-9705-c514cdb3293f,http://www.w3.org/2004/02/skos/core#relatedMatch
A_HWAT,B13_08831,one-to-many correspondence,cb57d37d-813e-42ec-9570-ea72c606eac4,http://www.w3.org/2004/02/skos/core#closeMatch
A_COKE,B14_081,one-to-many correspondence,c3a1e74d-ce46-4f68-820c-c649010efba5,http://www.w3.org/2004/02/skos/core#closeMatch
A_BKBP,B15_083,one-to-one correspondence,a671a094-daf3-4bb2-b98a-2277d327f2bb,http://www.w3.org/2004/02/skos/core#exactMatch
A_GASD,B17_082,one-to-one correspondence,6619c6cb-0414-4c41-b1e2-0e439ca6c66d,http://www.w3.org/2004/02/skos/core#exactMatch
A_STEL,B18_084,one-to-many correspondence,9ce180bd-3596-4298-9f72-6f09a7eba79b,http://www.w3.org/2004/02/skos/core#closeMatch
A_REFN,B20_086,one-to-one correspondence,9484321e-4768-4617-a4ba-2b77e19e4cd3,http://www.w3.org/2004/02/skos/core#exactMatch
A_NS_transf,B21_089,one-to-one correspondence,08b50f92-d911-4a0a-b82a-b78aaf0343e3,http://www.w3.org/2004/02/skos/core#exactMatch
A_HWAT,B22_09,one-to-many correspondence,4a43ce30-4346-4cae-97cb-60d1c059bf5d,http://www.w3.org/2004/02/skos/core#closeMatch
A_CHEM,B26_121,many-to-many correspondence,d9997074-453e-4412-8839-47014c884bc1,http://www.w3.org/2004/02/skos/core#relatedMatch
A_CMNT,B26_121,many-to-many correspondence,369ee1d8-7959-4751-b270-8f35dd0833ee,http://www.w3.org/2004/02/skos/core#relatedMatch
A_FABM,B26_121,many-to-one correspondence,25352ef6-5e8f-4513-9538-41d24b9f3180,http://www.w3.org/2004/02/skos/core#closeMatch
A_FURN,B26_121,many-to-one correspondence,71a24e3c-6630-4795-8036-065ea6183ee6,http://www.w3.org/2004/02/skos/core#closeMatch
A_GARM,B26_121,many-to-one correspondence,9a5069fc-8f1e-4082-99fd-ad445ce7324d,http://www.w3.org/2004/02/skos/core#closeMatch
A_LETH,B26_121,many-to-many correspondence,7e837d27-728e-4795-931f-ee5496df5442,http://www.w3.org/2004/02/skos/core#relatedMatch
A_MACH,B26_121,many-to-many correspondence,56da1d91-ccc0-4276-b0c0-7b700ec3909a,http://www.w3.org/2004/02/skos/core#relatedMatch
A_MBIO,B26_121,many-to-one correspondence,50e19262-5236-4f7e-9900-635ba0e65979,http://www.w3.org/2004/02/skos/core#closeMatch
A_MDIA,B26_121,many-to-one correspondence,27437d57-f925-414e-ab45-298712394d14,http://www.w3.org/2004/02/skos/core#closeMatch
A_MEIN,B26_121,many-to-one correspondence,e5e5a900-b8b5-42a5-b58b-5ed08c7cf659,http://www.w3.org/2004/02/skos/core#closeMatch
A_PAPE,B26_121,many-to-many correspondence,b4a1493b-c758-443b-9280-bec32054461f,http://www.w3.org/2004/02/skos/core#relatedMatch
A_PLAS,B26_121,many-to-one correspondence,61658c3c-9107-4097-9a31-576421ca551b,http://www.w3.org/2004/02/skos/core#closeMatch
A_RATV,B26_121,many-to-one correspondence,435de3c1-19a1-4024-9fcd-f0d7f848ead0,http://www.w3.org/2004/02/skos/core#closeMatch
A_RUBP,B26_121,many-to-one correspondence,7c923a81-33cc-44e4-b4a9-ef77dc4f3353,http://www.w3.org/2004/02/skos/core#closeMatch
A_STEL,B26_121,many-to-many correspondence,ab452119-32f0-4b8b-b584-b0a547841292,http://www.w3.org/2004/02/skos/core#relatedMatch
A_TEXT,B26_121,many-to-one correspondence,d30a8102-eb5a-4566-b59f-ac373f720e1c,http://www.w3.org/2004/02/skos/core#closeMatch
A_WOOD,B26_121,many-to-many correspondence,11451186-91ef-46db-8d72-e94c2ae983e9,http://www.w3.org/2004/02/skos/core#relatedMatch
A_STEL,B27_1211,many-to-many correspondence,5ced3b3e-cae4-43a4-aaad-5b9859e31fcd,http://www.w3.org/2004/02/skos/core#relatedMatch
A_STEW,B27_1211,many-to-many correspondence,7ac9671f-c274-4861-b776-de082f2a29e7,http://www.w3.org/2004/02/skos/core#relatedMatch
A_CHEM,B28_1213,many-to-many correspondence,700510b8-4286-49c0-9662-ee466a759d00,http://www.w3.org/2004/02/skos/core#relatedMatch
A_CHMF,B28_1213,many-to-one correspondence,c9fd8d52-0e22-4223-9ae2-5188553065fb,http://www.w3.org/2004/02/skos/core#closeMatch
A_NIKO,B29_1214a,many-to-one correspondence,3b72c132-0ff4-4707-b586-b36413db0f70,http://www.w3.org/2004/02/skos/core#closeMatch
A_ONFM,B29_1214a,many-to-one correspondence,47f7d9f2-4531-46bc-86f7-bd5564cfd7fb,http://www.w3.org/2004/02/skos/core#closeMatch
A_ONFO,B29_1214a,many-to-one correspondence,1155e681-76d4-4a7c-a3ae-82428396b869,http://www.w3.org/2004/02/skos/core#closeMatch
A_CMNT,B30_1214b,many-to-many correspondence,ff9da1ad-5685-4e0f-84a2-ef0730774eb4,http://www.w3.org/2004/02/skos/core#relatedMatch
A_CRMC,B30_1214b,many-to-one correspondence,0758a4cd-db9b-41b0-a89f-70d0c687f420,http://www.w3.org/2004/02/skos/core#closeMatch
A_OTRE,B31_1214c,one-to-one correspondence,8a0842ea-73bf-46b5-a586-19abbd608e47,http://www.w3.org/2004/02/skos/core#exactMatch
A_MACH,B32_1214d,one-to-many correspondence,4e9bcc9f-ee94-4f8f-97c6-ca1b1480a27d,http://www.w3.org/2004/02/skos/core#closeMatch
A_COAL,B33_1214e,many-to-one correspondence,26ae639e-38af-434f-8e33-ef02be03ebe7,http://www.w3.org/2004/02/skos/core#closeMatch
A_COPO,B33_1214e,many-to-one correspondence,2289088c-e48d-4c24-b6b2-33129da4cb0e,http://www.w3.org/2004/02/skos/core#closeMatch
A_IRON,B33_1214e,many-to-one correspondence,215f070d-78c0-4abc-941a-3c64aaf8e5c9,http://www.w3.org/2004/02/skos/core#closeMatch
A_SDCL,B33_1214e,many-to-one correspondence,1bb6d753-0f8b-46cb-9c05-fab51820ddd6,http://www.w3.org/2004/02/skos/core#closeMatch
A_STON,B33_1214e,many-to-one correspondence,b34ad157-557f-4ab5-8cfe-60cf3b613de7,http://www.w3.org/2004/02/skos/core#closeMatch
A_PAPE,B35_1214g,many-to-many correspondence,2dff1075-1a7a-428f-b59f-2f73c4cbd7e4,http://www.w3.org/2004/02/skos/core#relatedMatch
A_PULP,B35_1214g,many-to-one correspondence,35698c13-b00c-4d86-b3b2-d42ad08dabaf,http://www.w3.org/2004/02/skos/core#closeMatch
A_WOOD,B36_1214h,many-to-many correspondence,20ef2f7d-57d8-4b00-8f96-dce2efb04943,http://www.w3.org/2004/02/skos/core#relatedMatch
A_WOOW,B36_1214h,many-to-many correspondence,301d22a0-ade4-458d-8a15-b9017a0f7988,http://www.w3.org/2004/02/skos/core#relatedMatch
A_LETH,B37_1214j,many-to-many correspondence,d429aa5d-51d0-4575-a694-9ff4eb8a999c,http://www.w3.org/2004/02/skos/core#relatedMatch
A_TE_RECY,B37_1214j,many-to-one correspondence,050cefd4-4ff1-4999-a1ed-ed821933530d,http://www.w3.org/2004/02/skos/core#closeMatch
A_CONS,B38_1214i,one-to-one correspondence,c8eca26d-3ad3-4d65-8550-bb99cf09903a,http://www.w3.org/2004/02/skos/core#exactMatch
A_TWAS,B40_122,one-to-one correspondence,1448033c-d9a5-48ee-ac2c-4a1c5420efaa,http://www.w3.org/2004/02/skos/core#exactMatch
A_TDMO,B41_1221,one-to-one correspondence,516f67b1-3c0b-4f21-bda8-f4a86485dc23,http://www.w3.org/2004/02/skos/core#exactMatch
A_TRAI,B42_1222,one-to-one correspondence,be92f9be-7bd2-49ae-8cbe-a947f26755d3,http://www.w3.org/2004/02/skos/core#exactMatch
A_TAIR,B43_1223,one-to-one correspondence,edf2fdb8-d332-464b-b385-4429243658d6,http://www.w3.org/2004/02/skos/core#exactMatch
A_TWAI,B44_1224,one-to-one correspondence,ec32337e-588d-4a4a-b1c7-0e3061a675fb,http://www.w3.org/2004/02/skos/core#exactMatch
A_TPIP,B45_1226,one-to-one correspondence,7b92ae00-8e1c-4b4a-8614-2ae1b9838507,http://www.w3.org/2004/02/skos/core#exactMatch
A_TLND,B46_1225,one-to-one correspondence,2496e99e-a2ac-4768-9a0e-7d77b018f350,http://www.w3.org/2004/02/skos/core#exactMatch
A_FORE,B48_1232,one-to-one correspondence,5b208f30-92e3-4d3a-b745-ea5dea7bf119,http://www.w3.org/2004/02/skos/core#exactMatch
F_HOUS,B50_1231,one-to-one correspondence,724499ba-a109-47ae-909e-90664b05d3c9,http://www.w3.org/2004/02/skos/core#exactMatch
