tree_bonsai,tree_iea_energy_balance,comment,prefixed_id,skos_uri
C_ANTH,ANTCOAL,one-to-one correspondence,b29ba374-45a9-4640-b6e2-eafa255ac958,http://www.w3.org/2004/02/skos/core#exactMatch
C_COKC,COKCOAL,one-to-one correspondence,26027e44-73b2-4616-ad5d-aa6e75ffe1e0,http://www.w3.org/2004/02/skos/core#exactMatch
C_OTBC,BITCOAL,one-to-one correspondence,315f7d31-f1df-4c2e-b0f4-f42b5b44acca,http://www.w3.org/2004/02/skos/core#exactMatch
C_SUBC,SUBCOAL,one-to-one correspondence,b6620e58-7966-4ff9-b0b6-9718d5cd90e5,http://www.w3.org/2004/02/skos/core#exactMatch
C_LIBC,LIGNITE,one-to-one correspondence,db614573-af90-4d6c-b15c-fb31d6fa4452,http://www.w3.org/2004/02/skos/core#exactMatch
C_PATF,PATFUEL,one-to-one correspondence,afd6c848-1c00-4a4b-ad32-caafec1d1bba,http://www.w3.org/2004/02/skos/core#exactMatch
C_COKE,OVENCOKE,one-to-one correspondence,047c1046-ad14-4bb8-b8e6-0ada10eb0509,http://www.w3.org/2004/02/skos/core#exactMatch
C_GCOK,GASCOKE,one-to-one correspondence,b63375c9-7dc1-4a82-8033-3d33236f4a65,http://www.w3.org/2004/02/skos/core#exactMatch
C_COTA,COALTAR,one-to-one correspondence,6e71fca7-8fc1-4421-8488-882776214e16,http://www.w3.org/2004/02/skos/core#exactMatch
C_BKBP,BKB,one-to-many correspondence,e82b92a7-74d1-4d54-957f-d8efe5cef887,http://www.w3.org/2004/02/skos/core#closeMatch
C_MGWG,GASWKSGS,one-to-one correspondence,d8bf6dde-7a0f-4757-96cc-4e2329db4e47,http://www.w3.org/2004/02/skos/core#exactMatch
C_COOG,COKEOVGS,one-to-one correspondence,992706cc-ef5d-46af-b123-48e674fca863,http://www.w3.org/2004/02/skos/core#exactMatch
C_MBFG,BLFURGS,one-to-one correspondence,ca4caaed-091b-4853-9399-3c9554fa98ed,http://www.w3.org/2004/02/skos/core#exactMatch
C_MOSG,OGASES,one-to-one correspondence,6dc11086-8b90-4c44-bff1-62a2d236fea9,http://www.w3.org/2004/02/skos/core#exactMatch
C_PEAT,PEAT,one-to-one correspondence,5f53d605-2ef5-4713-a983-663576888a85,http://www.w3.org/2004/02/skos/core#exactMatch
C_BKBP,PEATPROD,one-to-many correspondence,80e58226-77ee-48d9-afe3-3974a051cf9b,http://www.w3.org/2004/02/skos/core#closeMatch
C_COIL,OILSHALE,one-to-many correspondence,0eb56eb4-f60a-42db-8852-b278e4aa986c,http://www.w3.org/2004/02/skos/core#closeMatch
C_GASE,NATGAS,one-to-one correspondence,aa521d50-60f9-4116-af8e-33050e657c20,http://www.w3.org/2004/02/skos/core#exactMatch
C_COIL,CRUDEOIL,one-to-many correspondence,5f0d8f05-8b30-452d-a0ca-c69ebbfbc24e,http://www.w3.org/2004/02/skos/core#closeMatch
C_GASL,NGL,one-to-one correspondence,c43bd082-855d-4b71-b008-2046da952796,http://www.w3.org/2004/02/skos/core#exactMatch
C_REFF,REFFEEDS,one-to-one correspondence,94e94bfb-f2fa-4a43-a62c-34870c37c2c4,http://www.w3.org/2004/02/skos/core#exactMatch
C_ADDC,ADDITIVE,one-to-one correspondence,f8796c6d-391c-4bb2-9d12-5e4b4f8a8b9d,http://www.w3.org/2004/02/skos/core#exactMatch
C_OGPL,NONCRUDE,one-to-one correspondence,83b02b91-a12c-4b2f-bbfe-2b0b7469ccac,http://www.w3.org/2004/02/skos/core#exactMatch
C_RGAS,REFINGAS,one-to-one correspondence,c42bf823-2831-4b1c-aee9-da8a7a731ed0,http://www.w3.org/2004/02/skos/core#exactMatch
C_ETHA,ETHANE,one-to-one correspondence,e84abe2a-dbec-42a1-adbf-3d3aa54f8edf,http://www.w3.org/2004/02/skos/core#exactMatch
C_LPGA,LPG,one-to-one correspondence,7e82e31f-2b6f-4bf4-bdad-a496288eb8f7,http://www.w3.org/2004/02/skos/core#exactMatch
C_MGSL,NONBIOGASO,one-to-one correspondence,6c36a7af-c5e7-4254-b887-8fb28f93aff4,http://www.w3.org/2004/02/skos/core#exactMatch
C_AGSL,AVGAS,one-to-one correspondence,0c811405-d065-4986-8a2e-3a3e37edd18a,http://www.w3.org/2004/02/skos/core#exactMatch
C_GJET,JETGAS,one-to-one correspondence,cdfb5ffd-d0bf-4ec2-9d4d-5fffe0db36c8,http://www.w3.org/2004/02/skos/core#exactMatch
C_KJET,NONBIOJETK,one-to-one correspondence,c9be2ce2-3176-4cfe-9556-4c1ee0e76fad,http://www.w3.org/2004/02/skos/core#exactMatch
C_KERO,OTHKERO,one-to-one correspondence,bf269a91-d352-4cf7-8170-14832e2015bb,http://www.w3.org/2004/02/skos/core#exactMatch
C_DOIL,NONBIODIES,one-to-one correspondence,11b406a5-912f-4998-8f81-8ec79549f905,http://www.w3.org/2004/02/skos/core#exactMatch
C_FOIL,RESFUEL,one-to-one correspondence,98788fda-f619-4a19-bc89-22a70b2c6e2b,http://www.w3.org/2004/02/skos/core#exactMatch
C_NAPT,NAPHTHA,one-to-one correspondence,1308cdcb-3a09-4892-a7ae-de82a440ce62,http://www.w3.org/2004/02/skos/core#exactMatch
C_WHSP,WHITESP,one-to-one correspondence,a6de4650-47e0-47b1-aff3-054409820f12,http://www.w3.org/2004/02/skos/core#exactMatch
C_LUBR,LUBRIC,one-to-one correspondence,f2f9c4b7-928e-4078-a97b-3a7793e460b4,http://www.w3.org/2004/02/skos/core#exactMatch
C_BITU,BITUMEN,one-to-one correspondence,1c81b181-2b5f-4ac8-b89d-44f163971e8f,http://www.w3.org/2004/02/skos/core#exactMatch
C_PARW,PARWAX,one-to-one correspondence,019b6541-4c18-43fe-b6ec-a4a6a3d3c267,http://www.w3.org/2004/02/skos/core#exactMatch
C_PETC,PETCOKE,one-to-one correspondence,24761fbc-771c-4499-9463-716973233fd3,http://www.w3.org/2004/02/skos/core#exactMatch
C_NSPP,ONONSPEC,one-to-one correspondence,f6a4ad53-4193-4278-b714-991531af461e,http://www.w3.org/2004/02/skos/core#exactMatch
C_industrial_waste,INDWASTE,one-to-one correspondence,c0ba30f2-a2a4-45f7-9939-4ebacea96b93,http://www.w3.org/2004/02/skos/core#exactMatch
C_munic_renew_waste,MUNWASTER,one-to-one correspondence,2adf302a-fd31-441f-a140-43c95d264a77,http://www.w3.org/2004/02/skos/core#exactMatch
C_munic_non_renew_waste,MUNWASTEN,one-to-one correspondence,71efb654-4fb4-40b7-9837-77efc95fc7a0,http://www.w3.org/2004/02/skos/core#exactMatch
C_WOOD,PRIMSBIO,one-to-one correspondence,361e0602-8087-46a9-8eb1-fee6321c9df1,http://www.w3.org/2004/02/skos/core#exactMatch
C_MBIO,BIOGASES,one-to-one correspondence,409616bd-2422-4489-b219-9502c4fc91bf,http://www.w3.org/2004/02/skos/core#exactMatch
C_BIOG,BIOGASOL,one-to-many correspondence,a8a52049-6384-4f82-a289-cac136716573,http://www.w3.org/2004/02/skos/core#closeMatch
C_BIOD,BIODIESEL,one-to-many correspondence,4735c8ec-b52e-41e4-a8d9-b555a9184eb3,http://www.w3.org/2004/02/skos/core#closeMatch
C_BIOD,BIOJETKERO,one-to-many correspondence,6ee65c8c-9779-4ab5-aa8b-8bace2b6a290,http://www.w3.org/2004/02/skos/core#closeMatch
C_BIOG,OBIOLIQ,one-to-many correspondence,724fd888-0361-42b5-86d3-cf64eb6a0099,http://www.w3.org/2004/02/skos/core#closeMatch
C_CHAR,CHARCOAL,one-to-one correspondence,41f6f50e-1eb0-4559-8dbb-d54f10c3eec2,http://www.w3.org/2004/02/skos/core#exactMatch
C_HWAT,SOLARTH,one-to-one correspondence,d7932610-cce9-4cfc-8a1c-584b9898647c,http://www.w3.org/2004/02/skos/core#exactMatch
C_ELEC,ELECTR,one-to-one correspondence,07ceb594-0185-4c0e-891e-a9556a2ec99d,http://www.w3.org/2004/02/skos/core#exactMatch
C_HEAT,HEAT,one-to-one correspondence,09940a8d-f252-42d4-9527-2312c52ed9d4,http://www.w3.org/2004/02/skos/core#exactMatch
